"Building Name","Latitude","Longitude","Status"
"Folsom Library","42.7294361078206","-73.68252684056829","Closed"
"JROWL","42.7288","-73.6804","Open"
"Eaton","42.730310","-73.682501","Open"
"87 Gym","42.73126548321163","73.6786121","Open"
"North Hall","42.732817203339586","-73.67971005848727","Open"
"E Complex","42.73273061261798","-73.67940445055176","Open"
"Ricketts Building","42.73248380464088","-73.67978131986511","Open"
"Quadrangle Complex","42.73205972105344","-73.67768085055427","Open"
"Russell Sage Dining Hall","42.731251187934085","-73.67857571193338","Open"
"CII","42.730484360579425","-73.67858745849405","Open"
"DCC","42.73058330699078","-73.67959181193503","Open"
